# Amplitude thresholds (dB) of subjects for Experiment 1 (Figure 2)																
# One can reverse dB scale of x by computing 10**(x/20) 																
																
# Subject: AVE																
"# line 1: Uniform background, line2: Modulated background"																
5.524405152869551472e+01, 5.327254068261090225e+01, 5.183471893846906653e+01, 4.916549970796037883e+01, 4.755950682923654682e+01
4.968607371953116569e+01, 4.590408716970607372e+01, 4.555980354383036968e+01, 4.415660477910498827e+01, 4.046686021356152452e+01											
# rc,    sine,    tri,    sqr,    rect																
																
# Subject: AD																
"# line 1: Uniform background, line2: Modulated background"																
5.502447215979267270e+01, 5.182492335699937058e+01, 5.133676684741413254e+01, 4.830909081452203679e+01, 4.797716105266400177e+01
4.945760906891219832e+01, 4.573328353084933440e+01, 4.657662587992940928e+01, 4.312994286045176295e+01, 3.964294790044566241e+01												
# rc,    sine,    tri,    sqr,    rect																
																
# Subject: AZ																
"# line 1: Uniform background, line2: Modulated background"																
5.568346588748124759e+01, 5.287839509761280965e+01, 5.047671868690251529e+01, 4.929542730436597253e+01, 4.691787210273304964e+01
4.777965159610253210e+01, 4.691313426998750202e+01, 4.596506970194604946e+01, 4.558903107951358180e+01, 4.052024478384537787e+01								
# rc,    sine,    tri,    sqr,    rect																
																
# Subject: CO																
"# line 1: Uniform background, line2: Modulated background"																
5.470731724872450741e+01, 5.444530512552280044e+01, 5.437332618286937702e+01, 5.029050230014185985e+01, 4.788299915479264257e+01
5.048824896314645372e+01, 4.429103642516810169e+01, 4.510087458368666802e+01, 4.368188673354155327e+01, 4.234777355238836805e+01												
# rc,    sine,    tri,    sqr,    rect																
